X,Y,id,initialdate,finaldate,area_ha,iso2,iso3,country,admlvl1,admlvl2,admlvl3,admlvl5,map_source,broadleaved_forest_percent,coniferous_forest_percent,mixed_forest_percent,sclerophillous_vegetation_percent,transitional_vegetation_percent,other_natural_percent,agriculture_percent,artificial_percent,other_percent,natura2k_percent,noneu,updated,area_code,eu_area
,,"39205",2008/07/10 00:00:00,2008/07/10 00:00:00+00,"79",ES,ESP,España,Sur,Región de Murcia,Murcia,Cartagena,modis,0,7.69230769229783,0,92.307692307574,0,0,0,0,0,100,"0",2022/01/26 11:57:54.973,EU,EU
,,"39107",2008/06/17 00:00:00,2008/06/17 00:00:00+00,"104",ES,ESP,España,Sur,Andalucía,Almería,Turre,modis,0,0,0,94.174757281462,0,4.85436893203412,0.970873786406824,0,0,100,"0",2022/01/26 11:57:54.973,EU,EU
,,"39129",2008/06/19 00:00:00,2008/06/19 00:00:00+00,"523",ES,ESP,España,Sur,Andalucía,Cádiz,Tarifa,modis,5.87121212121101,5.68181818181711,0,85.7954545454383,0.189393939393904,0,2.46212121212075,0,0,92.6977603329791,"0",2022/01/26 11:57:54.973,EU,EU
,,"39169",2008/07/01 00:00:00,2008/07/01 00:00:00+00,"253",ES,ESP,España,Sur,Andalucía,Córdoba,"Viso, El",modis,0,0,0,50.3937007873817,0,0,49.6062992125789,0,0,100,"0",2022/01/26 11:57:54.973,EU,EU
,,"39181",2008/07/07 00:00:00,2008/07/07 00:00:00+00,"58",ES,ESP,España,Sur,Andalucía,Jaén,Baños de la Encina,modis,0,0,0,78.9473684209141,0,0,17.543859649092,0,3.50877192981841,100,"0",2022/01/26 11:57:54.973,EU,EU
,,"39199",2008/07/10 00:00:00,2008/07/10 00:00:00+00,"170",ES,ESP,España,Centro (ES),Extremadura,Cáceres,Navalmoral de la Mata,modis,11.1764705882287,0,0,0,29.4117647058651,59.4117647058474,0,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"39275",2008/07/21 00:00:00,2008/07/21 00:00:00+00,"167",ES,ESP,España,Sur,Andalucía,Almería,Senés,modis,0,1.19047619047548,0,0,0,98.809523809465,0,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"39325",2008/07/28 00:00:00,2008/07/28 00:00:00+00,"36",ES,ESP,España,Noroeste,Galicia,Lugo,Monforte de Lemos,modis,39.4736842104224,0,0,0,0,23.6842105262535,10.526315789446,26.315789473615,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"39785",2008/08/29 00:00:00,2008/08/29 00:00:00+00,"41",ES,ESP,España,Centro (ES),Castilla y León,Salamanca,Espadaña,modis,0,0,0,0,0,44.1860465115251,55.8139534882423,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"39307",2008/07/23 00:00:00,2008/07/23 00:00:00+00,"44",ES,ESP,España,Noroeste,Galicia,Ourense,Lobios,modis,0,0,0,0,0,99.9999999997674,0,0,0,99.9245842789601,"0",2022/01/26 11:57:54.973,EU,EU
,,"39309",2008/07/24 00:00:00,2008/07/24 00:00:00+00,"104",ES,ESP,España,Centro (ES),Castilla y León,Valladolid,Renedo de Esgueva,modis,0,18.0952380952209,0,0,0,0,81.9047619046839,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"39399",2008/08/06 00:00:00,2008/08/06 00:00:00+00,"49",ES,ESP,España,Centro (ES),Castilla y León,Palencia,Villaviudas,modis,0,0,0,64.5833333331988,0,0,35.4166666665929,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"39343",2008/08/01 00:00:00,2008/08/01 00:00:00+00,"168",ES,ESP,España,Sur,Andalucía,Málaga,Benaoján,modis,1.19047619047548,0,0,13.690476190468,0,0,85.119047618997,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"39353",2008/08/02 00:00:00,2008/08/02 00:00:00+00,"845",ES,ESP,España,Centro (ES),Castilla y León,Burgos,Sasamón,modis,0,0,0,11.6251482799512,0,0,88.374851720037,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"39367",2008/08/05 00:00:00,2008/08/05 00:00:00+00,"2498",ES,ESP,España,Noreste,Aragón,Zaragoza,Castejón de Valdejasa,modis,0,10.1114649681525,4.33917197452212,3.82165605095526,69.2675159235641,0,12.4601910828021,0,0,95.079449538901,"0",2022/01/26 11:57:54.973,EU,EU
,,"39387",2008/08/06 00:00:00,2008/08/06 00:00:00+00,"960",ES,ESP,España,Centro (ES),Castilla y León,Segovia,Moral de Hornuez,modis,0.729166666666591,9.68749999999899,5.20833333333279,0,71.0416666666593,2.29166666666643,11.0416666666655,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"39433",2008/08/10 00:00:00,2008/08/10 00:00:00+00,"525",ES,ESP,España,Centro (ES),Castilla-La Mancha,Ciudad Real,Hinojosas de Calatrava,modis,0,0,0,0,0,87.2623574144321,12.7376425855489,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"39459",2008/08/13 00:00:00,2008/08/13 00:00:00+00,"123",ES,ESP,España,Centro (ES),Castilla y León,León,Castropodame,modis,20.6611570247763,1.6528925619821,0,0,0,77.6859504131589,0,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"39529",2008/08/16 00:00:00,2008/08/16 00:00:00+00,"53",ES,ESP,España,Este,Comunitat Valenciana,Valencia/València,Ayora,modis,0,0,0,0,48.0769230768306,51.9230769229771,0,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"39577",2008/08/18 00:00:00,2008/08/18 00:00:00+00,"38",ES,ESP,España,Centro (ES),Castilla y León,Salamanca,Juzbado,modis,39.4736842104224,0,0,0,0,34.2105263156994,26.315789473615,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"39585",2008/08/18 00:00:00,2008/08/18 00:00:00+00,"398",ES,ESP,España,Centro (ES),Castilla y León,León,Destriana,modis,1.51515151515113,0,0,65.1515151514987,7.32323232323047,6.06060606060453,19.9494949494899,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"39669",2008/08/24 00:00:00,2008/08/24 00:00:00+00,"237",ES,ESP,España,Centro (ES),Castilla y León,Zamora,Losacio,modis,0,0,0,5.02092050208995,0,72.8033472803043,22.1757322175639,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"39737",2008/08/26 00:00:00,2008/08/26 00:00:00+00,"65",ES,ESP,España,Noroeste,Galicia,Lugo,Folgoso do Courel,modis,0,0,0,0,0,99.9999999998485,0,0,0,100,"0",2022/01/26 11:57:54.973,EU,EU
,,"39739",2008/08/27 00:00:00,2008/08/27 00:00:00+00,"81",ES,ESP,España,Centro (ES),Castilla y León,León,Villafranca del Bierzo,modis,4.87804878048186,0,1.21951219512046,0,4.87804878048186,89.0243902437939,0,0,0,100,"0",2022/01/26 11:57:54.973,EU,EU
,,"39745",2008/08/27 00:00:00,2008/08/27 00:00:00+00,"35",ES,ESP,España,Centro (ES),Castilla y León,Ávila,Ávila,modis,0,0,0,0,0,99.999999999697,0,0,0,100,"0",2022/01/26 11:57:54.973,EU,EU
,,"39789",2008/08/29 00:00:00,2008/08/29 00:00:00+00,"285",ES,ESP,España,Centro (ES),Castilla y León,Zamora,Fariza,modis,2.12765957446733,0,0,79.0780141843691,0.709219858155777,0,18.0851063829723,0,0,100,"0",2022/01/26 11:57:54.973,EU,EU
,,"39797",2008/08/31 00:00:00,2008/08/31 00:00:00+00,"656",ES,ESP,España,Centro (ES),Castilla y León,Zamora,Gallegos del Río,modis,0,0,0,52.5267993874345,0,11.1791730474715,36.2940275650787,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"39803",2008/09/02 00:00:00,2008/09/02 00:00:00+00,"361",ES,ESP,España,Centro (ES),Castilla y León,León,Magaz de Cepeda,modis,0.833333333333102,0.555555555555401,0,4.72222222222091,12.7777777777742,41.1111111110997,39.9999999999889,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"39807",2008/09/03 00:00:00,2008/09/03 00:00:00+00,"422",ES,ESP,España,Sur,Andalucía,Cádiz,Algeciras,modis,28.4360189573392,0,0,35.3080568720295,20.6161137440709,0,15.6398104265366,0,0,100,"0",2022/01/26 11:57:54.973,EU,EU
,,"39983",2008/09/26 00:00:00,2008/09/26 00:00:00+00,"51",ES,ESP,España,Centro (ES),Castilla y León,León,Soto y Amío,modis,31.3725490195463,0,0,0,25.4901960783814,43.1372549018762,0,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"39871",2008/09/08 00:00:00,2008/09/08 00:00:00+00,"98",ES,ESP,España,Centro (ES),Castilla y León,Ávila,Junciana,modis,0,0,0,0,0,79.1666666665842,20.8333333333116,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"39973",2008/09/14 00:00:00,2008/09/14 00:00:00+00,"127",ES,ESP,España,Centro (ES),Castilla y León,León,Truchas,modis,0,0,0,0,3.87596899224506,96.1240310076774,0,0,0,10.2713698603513,"0",2022/01/26 11:57:54.973,EU,EU
,,"1932",2009/10/13 00:00:00,2009/10/13 00:00:00+00,"31",ES,ESP,España,Noroeste,Galicia,Lugo,Chantada,modis,31.2499999999023,0,0,0,0,68.7499999997851,0,0,0,100,"0",2022/01/26 11:57:54.973,EU,EU
,,"4117",2009/09/12 00:00:00,2009/09/12 00:00:00+00,"207",ES,ESP,España,Centro (ES),Castilla y León,León,San Emiliano,modis,0,0,0,0,2.42718446601824,94.6601941747113,2.91262135922189,0,0,100,"0",2022/01/26 11:57:54.973,EU,EU
,,"4401",2009/09/06 00:00:00,2009/09/06 00:00:00+00,"47",ES,ESP,España,Sur,Andalucía,Málaga,Estepona,modis,0,0,0,52.0833333332248,0,0,41.6666666665799,6.24999999998698,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"4427",2009/03/13 00:00:00,2009/03/13 00:00:00+00,"98",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Cangas del Narcea,modis,20.4081632652853,0,0,0,0,65.3061224489129,14.2857142856997,0,0,18.7562632722728,"0",2022/01/26 11:57:54.973,EU,EU
,,"4910",2009/07/24 00:00:00,2009/07/24 00:00:00+00,"313",ES,ESP,España,Centro (ES),Castilla y León,Burgos,Condado de Treviño,modis,30.1587301587206,0,0,14.2857142857098,36.1904761904647,0,19.3650793650732,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"4055",2009/09/12 00:00:00,2009/09/12 00:00:00+00,"2132",ES,ESP,España,Centro (ES),Castilla y León,León,Peranzanes,modis,7.61326482951856,0,0,0,0,92.3400280242834,0.0467071461933654,0,0,99.0641401801555,"0",2022/01/26 11:57:54.973,EU,EU
,,"5106",2009/09/13 00:00:00,2009/09/13 00:00:00+00,"458",ES,ESP,España,Centro (ES),Castilla y León,León,Trabadelo,modis,6.08695652173781,0,0,0,0,93.9130434782405,0,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"5107",2009/09/11 00:00:00,2009/09/11 00:00:00+00,"533",ES,ESP,España,Centro (ES),Castilla y León,León,Benuza,modis,8.63039399624603,0,0,0,0,81.6135084427614,0,9.75609756097378,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"5108",2009/09/09 00:00:00,2009/09/09 00:00:00+00,"88",ES,ESP,España,Centro (ES),Castilla y León,León,Ponferrada,modis,62.6373626372938,0,0,0,0,37.3626373625963,0,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"2040",2009/10/19 00:00:00,2009/10/19 00:00:00+00,"44",ES,ESP,España,Noroeste,Galicia,Ourense,Padrenda,modis,0,0,0,0,0,99.9999999997778,0,0,0,100,"0",2022/01/26 11:57:54.973,EU,EU
,,"1619",2009/07/11 00:00:00,2009/07/11 00:00:00+00,"749",ES,ESP,España,Sur,Andalucía,Jaén,Jódar,modis,0,11.4247311827942,0,0.403225806451559,38.9784946236507,41.5322580645105,7.66129032257962,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"1669",2009/03/20 00:00:00,2009/03/20 00:00:00+00,"34",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Peñamellera Alta,modis,0,0,5.88235294115917,0,0,94.1176470585467,0,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"1573",2009/07/25 00:00:00,2009/07/25 00:00:00+00,"3314",ES,ESP,España,Centro (ES),Extremadura,Cáceres,Nuñomoral,modis,0.0603318250377056,1.84012066365002,0.452488687782792,5.4298642533935,0,84.5550527903443,7.66214177978861,0,0,35.0522141733275,"0",2022/01/26 11:57:54.973,EU,EU
,,"1650",2009/08/18 00:00:00,2009/08/18 00:00:00+00,"7165",ES,ESP,España,Noreste,Aragón,Zaragoza,Zaragoza,modis,0,2.94816263797676,0,25.555400307391,25.2200642727396,33.7571608215728,12.5192119603184,0,0,38.3953515308477,"0",2022/01/26 11:57:54.973,EU,EU
,,"3655",2009/07/02 00:00:00,2009/07/02 00:00:00+00,"304",ES,ESP,España,Centro (ES),Castilla-La Mancha,Toledo,"Pueblanueva, La",modis,0,0,0,71.617161716148,2.64026402640177,0.330033003300221,25.412541254117,0,0,60.7874161020099,"0",2022/01/26 11:57:54.973,EU,EU
,,"2101",2009/08/17 00:00:00,2009/08/17 00:00:00+00,"210",ES,ESP,España,Noroeste,Galicia,Ourense,Vilardevós,modis,10.9523809523757,0,2.8571428571415,0,24.2857142857027,45.2380952380737,16.6666666666587,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"3657",2009/07/02 00:00:00,2009/07/02 00:00:00+00,"124",ES,ESP,España,Este,Cataluña,Lleida,Oliola,modis,11.0236220472354,0,0,32.2834645669037,0,0,56.6929133857821,0,0,100,"0",2022/01/26 11:57:54.973,EU,EU
,,"2246",2009/07/23 00:00:00,2009/07/23 00:00:00+00,"820",ES,ESP,España,Noreste,Aragón,Teruel,Peralejos,modis,0,5.01835985312056,0,0,54.2227662178636,40.7588739290036,0,0,0,72.1194017977679,"0",2022/01/26 11:57:54.973,EU,EU
,,"2154",2009/09/29 00:00:00,2009/09/29 00:00:00+00,"48",ES,ESP,España,Noroeste,Galicia,Pontevedra,Rodeiro,modis,4.44444444443457,0,0,0,0,88.8888888886914,6.66666666665185,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"2187",2009/05/02 00:00:00,2009/05/02 00:00:00+00,"86",ES,ESP,España,Noroeste,Galicia,Ourense,San Xoán de Río,modis,89.4117647057772,0,0,0,0,0,10.5882352941052,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
